자치구,한식 일반 음식점업,한식 일반 음식점업.1,커피전문점,커피전문점.1,일반 교과 학원,일반 교과 학원.1,한식 육류요리 전문점,한식 육류요리 전문점.1,남녀용 겉옷 및 셔츠 도매업,남녀용 겉옷 및 셔츠 도매업.1,부동산 중개 및 대리업,부동산 중개 및 대리업.1
종로구,"1,548","5,912",948,"3,613",110,382,437,"1,982",400,962,549,889
중구,"1,588","6,414",869,"3,542",57,175,443,"2,121","10,810","24,248",576,"1,152"
용산구,857,"2,987",634,"2,076",104,573,300,"1,184",54,317,791,"1,214"
성동구,956,"2,785",547,"1,859",258,"1,494",400,"1,545",149,"1,572",801,"1,453"
광진구,963,"2,861",590,"1,887",413,"1,646",467,"1,678",89,687,871,"1,313"
동대문구,"1,236","3,566",494,"1,472",302,984,442,"1,509",211,976,842,"1,208"
중랑구,991,"2,479",381,"1,037",288,"1,045",499,"1,504",63,284,738,"1,104"
성북구,973,"2,822",457,"1,384",464,"1,755",365,"1,334",85,454,846,"1,175"
강북구,965,"2,663",358,"1,095",220,740,362,"1,176",40,94,589,867
도봉구,672,"2,009",288,837,351,"1,162",302,943,22,43,515,794
노원구,866,"2,650",535,"1,748",735,"3,281",428,"1,557",30,123,714,"1,053"
은평구,881,"2,585",457,"1,296",551,"1,793",476,"1,639",26,74,"1,134","1,614"
서대문구,863,"2,694",370,"1,323",361,"1,268",311,"1,088",22,68,667,956
마포구,"1,411","4,705","1,369","4,475",469,"1,855",701,"2,928",96,"1,209","1,149","1,903"
양천구,831,"2,800",402,"1,375","1,284","5,804",281,"1,111",25,52,922,"1,364"
강서구,"1,325","4,584",690,"2,530",672,"2,347",581,"2,274",78,700,"1,311","2,352"
구로구,"1,048","3,215",421,"1,384",336,"1,111",428,"1,496",114,923,789,"1,213"
금천구,867,"2,619",383,"1,215",153,487,300,"1,042",200,"2,575",671,"1,381"
영등포구,"1,738","6,476",838,"3,295",288,"1,082",494,"2,151",76,"1,220",986,"1,566"
동작구,765,"2,322",486,"1,628",407,"1,463",331,"1,177",20,199,883,"1,483"
관악구,"1,226","3,689",581,"2,049",354,"1,230",422,"1,628",31,190,"1,010","2,136"
서초구,"1,564","6,712","1,012","3,897",812,"3,812",445,"2,338",157,"1,563","1,457","2,758"
강남구,"2,415","11,486","1,624","7,273","1,426","9,020",827,"5,008",384,"8,320","2,337","6,508"
송파구,"1,575","5,760",975,"3,372",876,"4,160",639,"2,781",147,"2,830","1,677","3,190"
강동구,"1,101","3,388",546,"1,660",620,"2,104",428,"1,459",59,"1,433","1,188","1,990"
